time="2025-10-06 10:21:15" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-10-06 10:22:51" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-10-06 10:23:02" level=info msg="| 404 |            0s |       127.0.0.1 | GET | / |"
time="2025-10-06 10:23:02" level=info msg="| 404 |            0s |       127.0.0.1 | GET | /favicon.ico |"
time="2025-10-06 10:23:13" level=info msg="| 200 |      2.0783ms |       127.0.0.1 | GET | /livechat?user_id=agent |"
time="2025-10-06 10:23:13" level=info msg="| 200 |      7.1349ms |       127.0.0.1 | POST | /visitor_login |"
time="2025-10-06 10:23:14" level=info msg="| 200 |      2.4454ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=eb090ca7-3581-446d-94bc-50d9d282e35c |"
time="2025-10-06 10:23:14" level=info msg="| 200 |      3.6715ms |       127.0.0.1 | GET | /notice?kefu_id=agent |"
time="2025-10-06 10:23:19" level=info msg="| 200 |      4.3159ms |       127.0.0.1 | POST | /2/message |"
time="2025-10-06 10:23:19" level=info msg="| 404 |            0s |       127.0.0.1 | GET | /favicon.ico |"
time="2025-10-06 10:24:14" level=info msg="| 404 |            0s |       127.0.0.1 | GET | /admin |"
time="2025-10-06 10:24:14" level=info msg="| 200 |  1m0.1386057s |       127.0.0.1 | GET | /ws_visitor?visitor_id=eb090ca7-3581-446d-94bc-50d9d282e35c |"
time="2025-10-06 10:25:18" level=info msg="| 404 |            0s |       127.0.0.1 | GET | / |"
time="2025-10-06 10:25:56" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-10-06 10:26:20" level=info msg="Starting server...\nURL: http://0.0.0.0:8082"
time="2025-10-06 10:26:49" level=info msg="| 404 |            0s |             ::1 | GET | /?ide_webview_request_time=1759717609685 |"
time="2025-10-06 10:26:49" level=info msg="| 404 |            0s |             ::1 | GET | /@vite/client |"
time="2025-10-06 10:27:22" level=info msg="| 200 |      3.6099ms |             ::1 | GET | /login |"
time="2025-10-06 10:27:22" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2025-10-06 10:27:41" level=info msg="| 200 |       747.4µs |             ::1 | POST | /check |"
time="2025-10-06 10:28:39" level=info msg="| 404 |            0s |             ::1 | GET | /?ide_webview_request_time=1759717609685 |"
time="2025-10-06 10:28:39" level=info msg="| 404 |            0s |             ::1 | GET | /?ide_webview_request_time=1759717609685 |"
time="2025-10-06 10:28:39" level=info msg="| 404 |            0s |             ::1 | GET | /@vite/client |"
time="2025-10-06 10:28:57" level=info msg="| 200 |      6.3027ms |             ::1 | POST | /register |"
time="2025-10-06 10:29:01" level=info msg="| 200 |      1.0516ms |             ::1 | POST | /check |"
time="2025-10-06 10:29:01" level=info msg="| 200 |      1.5613ms |             ::1 | GET | /main |"
time="2025-10-06 10:29:01" level=info msg="| 404 |            0s |             ::1 | GET | /assets/js/functions.js |"
time="2025-10-06 10:29:01" level=info msg="| 200 |       596.1µs |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:29:01" level=info msg="| 200 |      1.9356ms |             ::1 | GET | /pannel |"
time="2025-10-06 10:29:01" level=info msg="| 200 |      1.0412ms |             ::1 | GET | /configs |"
time="2025-10-06 10:29:01" level=info msg="| 200 |      4.4745ms |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:29:06" level=info msg="| 200 |      3.0638ms |             ::1 | GET | /setting |"
time="2025-10-06 10:29:06" level=info msg="| 200 |       714.6µs |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:29:06" level=info msg="| 200 |       714.6µs |             ::1 | GET | /configs |"
time="2025-10-06 10:29:16" level=info msg="| 200 |      2.6038ms |             ::1 | GET | /pannel |"
time="2025-10-06 10:29:16" level=info msg="| 200 |       598.6µs |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:29:16" level=info msg="| 200 |      1.1051ms |             ::1 | GET | /configs |"
time="2025-10-06 10:29:26" level=info msg="| 200 |      5.5539ms |             ::1 | GET | /chat_main |"
time="2025-10-06 10:29:26" level=info msg="| 200 |            0s |             ::1 | GET | /visitors_kefu_online |"
time="2025-10-06 10:29:26" level=info msg="| 200 |      1.1058ms |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:29:26" level=info msg="| 200 |      3.7844ms |             ::1 | GET | /ipblacks |"
time="2025-10-06 10:29:26" level=info msg="| 200 |      5.3539ms |             ::1 | GET | /replys |"
time="2025-10-06 10:29:27" level=info msg="| 200 |       1.643ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-10-06 10:29:27" level=info msg="| 200 |            0s |             ::1 | GET | /visitors_kefu_online |"
time="2025-10-06 10:29:28" level=info msg="| 200 |      1.5216ms |             ::1 | GET | /pannel |"
time="2025-10-06 10:29:28" level=info msg="| 200 |    2.0565467s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc1OTcxNzc0MSwia2VmdV9pZCI6Miwia2VmdV9uYW1lIjoiYWRtaW4ifQ.eJR6W3zyokbm3F-5nPefj2cW2ugkR2wF0FO4I20vJNA |"
time="2025-10-06 10:29:28" level=info msg="| 200 |       506.3µs |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:29:28" level=info msg="| 200 |      1.0349ms |             ::1 | GET | /configs |"
time="2025-10-06 10:30:13" level=info msg="| 200 |      5.7764ms |             ::1 | GET | /chat_main |"
time="2025-10-06 10:30:13" level=info msg="| 200 |            0s |             ::1 | GET | /visitors_kefu_online |"
time="2025-10-06 10:30:13" level=info msg="| 200 |       1.116ms |             ::1 | GET | /kefuinfo |"
time="2025-10-06 10:30:13" level=info msg="| 200 |         530µs |             ::1 | GET | /ipblacks |"
time="2025-10-06 10:30:13" level=info msg="| 200 |      1.5577ms |             ::1 | GET | /replys |"
time="2025-10-06 10:30:14" level=info msg="| 200 |      1.1183ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-10-06 10:30:14" level=info msg="| 200 |            0s |             ::1 | GET | /visitors_kefu_online |"
